city,habitat,area,var_explained1,var_explained2,continent,range
Albuquerque,r,0.0143034047180159,0.164014228736663,0.0131378885416645,"NAM",Introduced
Albuquerque,u,0.0519874732056377,0.164014228736663,0.0131378885416645,"NAM",Introduced
Antwerp,r,0.0122492400856069,0.175058861727589,0.0142354752580998,EU,Native
Antwerp,u,0.0607812779024802,0.175058861727589,0.0142354752580998,EU,Native
Armidale,r,0.0410478814956723,0.191533627738733,0.0140517968532487,OCE,Introduced
Armidale,u,0.0388968566340744,0.191533627738733,0.0140517968532487,OCE,Introduced
Athens,r,0.0452698314519699,0.167614972708143,0.0145925063313018,"NAM",Introduced
Athens,u,0.0350098551963815,0.167614972708143,0.0145925063313018,"NAM",Introduced
Buenos_Aires,r,0.0587529530253659,0.180989809268879,0.0137752220439561,SAM,Introduced
Buenos_Aires,u,0.0263524386408781,0.180989809268879,0.0137752220439561,SAM,Introduced
Calgary,r,0.0249228251050677,0.140121140398218,0.0146221370210614,"NAM",Introduced
Calgary,u,0.03633895129152,0.140121140398218,0.0146221370210614,"NAM",Introduced
Cape_Town,r,0.0544476090884045,0.228501191039787,0.0156637643949329,AFR,Introduced
Cape_Town,u,0.0200064757960554,0.228501191039787,0.0156637643949329,AFR,Introduced
Christchurch,r,0.0125964888221656,0.139213485986115,0.0124711617471489,OCE,Introduced
Christchurch,u,0.0574232778355631,0.139213485986115,0.0124711617471489,OCE,Introduced
Kunming,r,0.0437308996799067,0.236159388860986,0.0192456912973115,ASI,Introduced
Kunming,u,0.050736239368374,0.236159388860986,0.0192456912973115,ASI,Introduced
Landshut,r,0.0282027936162494,0.160934110113385,0.0134138336589246,EU,Native
Landshut,u,0.031462302287446,0.160934110113385,0.0134138336589246,EU,Native
Linkoping,r,0.0138626127946751,0.146551215096127,0.0165454091896837,EU,Native
Linkoping,u,0.0645406961609882,0.146551215096127,0.0165454091896837,EU,Native
Loja,r,0.0596330352631099,0.20420606185577,0.0196434161158741,SAM,Introduced
Loja,u,0.0589625944792993,0.20420606185577,0.0196434161158741,SAM,Introduced
Memphis,r,0.0598910674561751,0.159276808789698,0.0187017878694863,"NAM",Introduced
Memphis,u,0.0128772440067003,0.159276808789698,0.0187017878694863,"NAM",Introduced
Mexico_City,r,0.0178700484165638,0.23654536193327,0.0259268828362113,"NAM",Introduced
Mexico_City,u,0.0582157585727988,0.23654536193327,0.0259268828362113,"NAM",Introduced
Munich,r,0.0491688091178863,0.161615101316688,0.0138054581841279,EU,Native
Munich,u,0.0129932649989825,0.161615101316688,0.0138054581841279,EU,Native
Palmerston_North,r,0.0157014254255897,0.141854375769033,0.0142345095950223,OCE,Introduced
Palmerston_North,u,0.0451162196042212,0.141854375769033,0.0142345095950223,OCE,Introduced
Punta_Arenas,r,0.0634916894119833,0.174305224436639,0.0162376744361457,SAM,Introduced
Punta_Arenas,u,0.00629126011178367,0.174305224436639,0.0162376744361457,SAM,Introduced
Quito,r,0.126420917275831,0.279662556425248,0.0245736263697636,SAM,Introduced
Quito,u,0.044134506982224,0.279662556425248,0.0245736263697636,SAM,Introduced
Sapporo,r,0.0288070358440789,0.131951398145721,0.0123139374647446,ASI,Introduced
Sapporo,u,0.0186185522664576,0.131951398145721,0.0123139374647446,ASI,Introduced
Tehran,r,0.0277975009307313,0.327514965651982,0.0158516511558182,ASI,Native
Tehran,u,0.056613886994064,0.327514965651982,0.0158516511558182,ASI,Native
Thessaloniki,r,0.0298275286751971,0.195792343195386,0.0208392784044376,EU,Native
Thessaloniki,u,0.032110742969539,0.195792343195386,0.0208392784044376,EU,Native
Toronto,r,0.0120120247017944,0.0505973151416597,0.0202145272720846,"NAM",Introduced
Toronto,u,0.0232549162867923,0.0505973151416597,0.0202145272720846,"NAM",Introduced
Vancouver,r,0.0115000981573008,0.0982733094120601,0.0183137453391224,"NAM",Introduced
Vancouver,u,0.0523257835578457,0.0982733094120601,0.0183137453391224,"NAM",Introduced
Warsaw,r,0.0526543768872852,0.137275140756311,0.0143362586995412,EU,Native
Warsaw,u,0.0375543300705112,0.137275140756311,0.0143362586995412,EU,Native
