city,overlap,var_explained1,var_explained2,continent,range
Albuquerque,0.129936887556421,0.164014228736663,0.0131378885416645,"NAM",Introduced
Antwerp,0.197963397111315,0.175058861727589,0.0142354752580998,EU,Native
Armidale,0.343962518566766,0.191533627738733,0.0140517968532487,OCE,Introduced
Athens,0.601904200348981,0.167614972708143,0.0145925063313018,"NAM",Introduced
Buenos_Aires,0.40251032526108,0.180989809268879,0.0137752220439561,SAM,Introduced
Calgary,0.398014717466242,0.140121140398218,0.0146221370210614,"NAM",Introduced
Cape_Town,0.322865006061298,0.228501191039787,0.0156637643949329,AFR,Introduced
Christchurch,0.217599398632461,0.139213485986115,0.0124711617471489,OCE,Introduced
Kunming,0.506425489470137,0.236159388860986,0.0192456912973115,ASI,Introduced
Landshut,0.414012737214426,0.160934110113385,0.0134138336589246,EU,Native
Linkoping,0.19617627086008,0.146551215096127,0.0165454091896837,EU,Native
Loja,0.688693745100355,0.20420606185577,0.0196434161158741,SAM,Introduced
Memphis,0.0139251742643366,0.159276808789698,0.0187017878694863,"NAM",Introduced
Mexico_City,0.210409606820928,0.23654536193327,0.0259268828362113,"NAM",Introduced
Munich,0.211594150604374,0.161615101316688,0.0138054581841279,EU,Native
Palmerston_North,0.0910687125394837,0.141854375769033,0.0142345095950223,OCE,Introduced
Punta_Arenas,0.0302781781765221,0.174305224436639,0.0162376744361457,SAM,Introduced
Quito,0.349107631341809,0.279662556425248,0.0245736263697636,SAM,Introduced
Sapporo,0.0534912692256128,0.131951398145721,0.0123139374647446,ASI,Introduced
Tehran,0.491001455767309,0.327514965651982,0.0158516511558182,ASI,Native
Thessaloniki,0.368298551094796,0.195792343195386,0.0208392784044376,EU,Native
Toronto,0.134616264523354,0.0505973151416597,0.0202145272720846,"NAM",Introduced
Vancouver,0.149253042318546,0.0982733094120601,0.0183137453391224,"NAM",Introduced
Warsaw,0.502407821139804,0.137275140756311,0.0143362586995412,EU,Native
