City,Time,LowerQ,Median,UpperQ,Habitat,continent,pop,individual,site,sample,range,library,lane
Albuquerque,0,1,228000,947000,rural,"NAM",29,5,r,Albuquerque_29_5,Introduced,glue_low1,1
Albuquerque,0,10600000,12700000,27800000,urban,"NAM",29,5,r,Albuquerque_29_5,Introduced,glue_low1,1
Antwerp,0,1,1970000,2200000,rural,EU,36,4,r,Antwerp_36_4,Native,glue_low1,1
Antwerp,0,1,9220000,29100000,urban,EU,36,4,r,Antwerp_36_4,Native,glue_low1,1
Armidale,0,34400000,37500000,42700000,rural,OCE,35,11,r,Armidale_35_11,Introduced,glue_low1,1
Armidale,0,17000000,40800000,45900000,urban,OCE,35,11,r,Armidale_35_11,Introduced,glue_low1,1
Athens,0,29000000,36600000,38300000,urban,"NAM",21,3,r,Athens_21_3,Introduced,glue_low1,1
Athens,0,1,17700,122000,rural,"NAM",21,3,r,Athens_21_3,Introduced,glue_low1,1
Buenos_Aires,0,1,1750,1270000,rural,SAM,1,17,r,Buen_Air_1_17,Introduced,glue_low1,1
Buenos_Aires,0,4060000,10500000,11800000,urban,SAM,1,17,r,Buen_Air_1_17,Introduced,glue_low1,1
Calgary,0,1,111000,884000,rural,"NAM",23,1,r,Calgary_23_1,Introduced,glue_low1,1
Calgary,0,15300000,21400000,23100000,urban,"NAM",23,1,r,Calgary_23_1,Introduced,glue_low1,1
Cape_Town,0,1,26900,1420000,rural,AFR,7,14,r,Cape_Town_7_14,Introduced,glue_low1,1
Cape_Town,0,1,1160000,3970000,urban,AFR,7,14,r,Cape_Town_7_14,Introduced,glue_low1,1
Christchurch,0,5090000,12100000,26300000,urban,OCE,37,13,r,Chrchurch_37_13,Introduced,glue_low1,1
Christchurch,0,9330000,13400000,21100000,rural,OCE,37,13,r,Chrchurch_37_13,Introduced,glue_low1,1
Kunming,0,1,33400,93200,rural,ASI,46,6,r,Kunming_46_6,Introduced,glue_low1,1
Kunming,0,54100,94800,136000,urban,ASI,46,6,r,Kunming_46_6,Introduced,glue_low1,1
Landshut,0,1,147000,565000,rural,EU,1,1,r,Landshut_1_1,Native,glue_low1,1
Landshut,0,500000,8150000,12400000,urban,EU,1,1,r,Landshut_1_1,Native,glue_low1,1
Linkoping,0,33900000,37700000,41100000,rural,EU,25,9,r,Linkoping_25_9,Native,glue_low1,1
Linkoping,0,923000,28500000,34100000,urban,EU,25,9,r,Linkoping_25_9,Native,glue_low1,1
Loja,0,1,2890000,4830000,urban,SAM,1,19,r,Loja_1_19,Introduced,glue_low1,1
Loja,0,1,64900,104000,rural,SAM,1,19,r,Loja_1_19,Introduced,glue_low1,1
Memphis,0,1,8860,44400,urban,"NAM",45,12,r,Memphis_45_12,Introduced,glue_low1,1
Memphis,0,72.3,532000,577000,rural,"NAM",45,12,r,Memphis_45_12,Introduced,glue_low1,1
Mexico_City,0,1,234000,463000,rural,"NAM",18,9,r,Mexico_City_18_9,Introduced,glue_low1,1
Mexico_City,0,21700000,24200000,26400000,urban,"NAM",18,9,r,Mexico_City_18_9,Introduced,glue_low1,1
Munich,0,639000,12500000,15500000,rural,EU,1,5,r,Munich_1_5,Native,glue_low1,1
Munich,0,20900000,23200000,25900000,urban,EU,1,5,r,Munich_1_5,Native,glue_low1,1
Palmerston_North,0,1,104000,619000,rural,OCE,6,15,u,Palm_North_6_15,Introduced,deep3,2
Palmerston_North,0,134000,291000,5060000,urban,OCE,6,15,u,Palm_North_6_15,Introduced,deep3,2
Punta_Arenas,0,163000,207000,5560000,urban,SAM,1,1,u,Punt_Ar_1_1,Introduced,deep3,3
Punta_Arenas,0,6310000,7120000,8000000,rural,SAM,1,1,u,Punt_Ar_1_1,Introduced,deep3,3
Quito,0,777000,871000,3520000,rural,SAM,1,12,r,Quito_1_12,Introduced,glue_low1,1
Quito,0,1,594000,648000,urban,SAM,1,12,r,Quito_1_12,Introduced,glue_low1,1
Sapporo,0,581000,9200000,11300000,rural,ASI,1,8,u,Sapporo_1_8,Introduced,deep3,3
Sapporo,0,1,173000,272000,urban,ASI,1,8,u,Sapporo_1_8,Introduced,deep3,3
Tehran,0,244000,396000,3150000,rural,ASI,27,10,r,Tehran_27_10,Native,glue_low1,1
Tehran,0,399000,429000,464000,urban,ASI,27,10,r,Tehran_27_10,Native,glue_low1,1
Thessaloniki,0,495000,521000,18700000,urban,EU,42,4,r,Thessa_42_4,Native,glue_low1,1
Thessaloniki,0,525000,17400000,18600000,rural,EU,42,4,r,Thessa_42_4,Native,glue_low1,1
Toronto,0,13400000,14300000,14800000,rural,"NAM",40,1,u,s_40_1,Introduced,Toronto,1
Toronto,0,6380000,6970000,10700000,urban,"NAM",40,1,u,s_40_1,Introduced,Toronto,1
Vancouver,0,525000,547000,7570000,rural,"NAM",1,1,u,Vancouver_1_1,Introduced,deep3,3
Vancouver,0,8720000,12800000,20400000,urban,"NAM",1,1,u,Vancouver_1_1,Introduced,deep3,3
Warsaw,0,1,53600,180000,rural,EU,1,12,u,Warsaw_1_12,Native,deep3,3
Warsaw,0,577000,596000,9510000,urban,EU,1,12,u,Warsaw_1_12,Native,deep3,3
