continent	city	pop	individual	site	sample	range	library	lane
NAM	Toronto	40	1	u	s_40_1	Introduced	Toronto	1
NAM	Toronto	40	3	u	s_40_3	Introduced	Toronto	1
NAM	Toronto	40	6	u	s_40_6	Introduced	Toronto	1
NAM	Toronto	40	7	u	s_40_7	Introduced	Toronto	1
NAM	Toronto	40	8	u	s_40_8	Introduced	Toronto	1
NAM	Toronto	40	10	u	s_40_10	Introduced	Toronto	1
NAM	Toronto	40	12	u	s_40_12	Introduced	Toronto	1
NAM	Toronto	40	17	u	s_40_17	Introduced	Toronto	1
NAM	Toronto	40	19	u	s_40_19	Introduced	Toronto	1
NAM	Toronto	41	1	u	s_41_1	Introduced	Toronto	1
NAM	Toronto	41	2	u	s_41_2	Introduced	Toronto	1
NAM	Toronto	41	7	u	s_41_7	Introduced	Toronto	1
NAM	Toronto	41	8	u	s_41_8	Introduced	Toronto	1
NAM	Toronto	41	12	u	s_41_12	Introduced	Toronto	1
NAM	Toronto	41	13	u	s_41_13	Introduced	Toronto	1
NAM	Toronto	41	14	u	s_41_14	Introduced	Toronto	1
NAM	Toronto	41	16	u	s_41_16	Introduced	Toronto	1
NAM	Toronto	41	18	u	s_41_18	Introduced	Toronto	1
NAM	Toronto	42	5	u	s_42_5	Introduced	Toronto	1
NAM	Toronto	42	9	u	s_42_9	Introduced	Toronto	1
NAM	Toronto	42	10	u	s_42_10	Introduced	Toronto	1
NAM	Toronto	42	11	u	s_42_11	Introduced	Toronto	1
NAM	Toronto	42	13	u	s_42_13	Introduced	Toronto	1
NAM	Toronto	42	17	u	s_42_17	Introduced	Toronto	1
NAM	Toronto	42	20	u	s_42_20	Introduced	Toronto	1
NAM	Toronto	43	4	u	s_43_4	Introduced	Toronto	1
NAM	Toronto	43	5	u	s_43_5	Introduced	Toronto	1
NAM	Toronto	43	6	u	s_43_6	Introduced	Toronto	1
NAM	Toronto	43	8	u	s_43_8	Introduced	Toronto	1
NAM	Toronto	43	10	u	s_43_10	Introduced	Toronto	1
NAM	Toronto	43	12	u	s_43_12	Introduced	Toronto	1
NAM	Toronto	43	13	u	s_43_13	Introduced	Toronto	1
NAM	Toronto	43	14	u	s_43_14	Introduced	Toronto	1
NAM	Toronto	43	15	u	s_43_15	Introduced	Toronto	1
NAM	Toronto	1	9	r	s_1_9	Introduced	Toronto	1
NAM	Toronto	2	3	r	s_2_3	Introduced	Toronto	1
NAM	Toronto	3	5	r	s_3_5	Introduced	Toronto	1
NAM	Toronto	4	18	r	s_4_18	Introduced	Toronto	1
NAM	Toronto	5	16	r	s_5_16	Introduced	Toronto	1
NAM	Toronto	97	3	r	s_97_3	Introduced	Toronto	1
NAM	Toronto	97	4	r	s_97_4	Introduced	Toronto	1
NAM	Toronto	97	6	r	s_97_6	Introduced	Toronto	1
NAM	Toronto	97	7	r	s_97_7	Introduced	Toronto	1
NAM	Toronto	97	10	r	s_97_10	Introduced	Toronto	1
NAM	Toronto	97	11	r	s_97_11	Introduced	Toronto	1
NAM	Toronto	97	13	r	s_97_13	Introduced	Toronto	1
NAM	Toronto	97	14	r	s_97_14	Introduced	Toronto	1
NAM	Toronto	98	1	r	s_98_1	Introduced	Toronto	1
NAM	Toronto	99	5	r	s_99_5	Introduced	Toronto	1
NAM	Toronto	100	13	r	s_100_13	Introduced	Toronto	1
NAM	Toronto	101	17	r	s_101_17	Introduced	Toronto	1
NAM	Toronto	6	8	r	s_6_8	Introduced	Toronto	1
NAM	Toronto	7	4	r	s_7_4	Introduced	Toronto	1
NAM	Toronto	7	6	r	s_7_6	Introduced	Toronto	1
NAM	Toronto	7	7	r	s_7_7	Introduced	Toronto	1
NAM	Toronto	7	11	r	s_7_11	Introduced	Toronto	1
NAM	Toronto	7	13	r	s_7_13	Introduced	Toronto	1
NAM	Toronto	7	14	r	s_7_14	Introduced	Toronto	1
NAM	Toronto	7	16	r	s_7_16	Introduced	Toronto	1
NAM	Toronto	7	19	r	s_7_19	Introduced	Toronto	1
NAM	Toronto	7	20	r	s_7_20	Introduced	Toronto	1
NAM	Toronto	37	6	u	s_37_6	Introduced	Toronto	1
NAM	Toronto	37	8	u	s_37_8	Introduced	Toronto	1
NAM	Toronto	37	10	u	s_37_10	Introduced	Toronto	1
NAM	Toronto	37	12	u	s_37_12	Introduced	Toronto	1
NAM	Toronto	37	13	u	s_37_13	Introduced	Toronto	1
NAM	Toronto	37	15	u	s_37_15	Introduced	Toronto	1
NAM	Toronto	37	16	u	s_37_16	Introduced	Toronto	1
NAM	Toronto	77	18	r	s_77_18	Introduced	Toronto	1
NAM	Toronto	78	4	r	s_78_4	Introduced	Toronto	1
NAM	Toronto	79	17	r	s_79_17	Introduced	Toronto	1
NAM	Toronto	80	18	r	s_80_18	Introduced	Toronto	1
NAM	Toronto	81	3	r	s_81_3	Introduced	Toronto	1
NAM	Toronto	82	19	r	s_82_19	Introduced	Toronto	1
NAM	Toronto	83	5	r	s_83_5	Introduced	Toronto	1
NAM	Toronto	83	9	r	s_83_9	Introduced	Toronto	1
NAM	Toronto	83	10	r	s_83_10	Introduced	Toronto	1
NAM	Toronto	83	13	r	s_83_13	Introduced	Toronto	1
NAM	Toronto	83	14	r	s_83_14	Introduced	Toronto	1
NAM	Toronto	83	15	r	s_83_15	Introduced	Toronto	1
NAM	Toronto	83	17	r	s_83_17	Introduced	Toronto	1
NAM	Toronto	83	18	r	s_83_18	Introduced	Toronto	1
NAM	Toronto	95	15	r	s_95_15	Introduced	Toronto	1
NAM	Toronto	96	5	r	s_96_5	Introduced	Toronto	1
